service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GCLR 24_25-36993,0,0,0,0,1,0,0,20250620,20250627
GCLR 25_26-39424,0,0,0,0,1,0,0,20250704,20250815
GCLR 24_25-36991,1,1,1,1,0,0,0,20250617,20250626
GCLR 25_26-39425,1,1,1,1,0,0,0,20250630,20250814
GCLR 24_25-36990,0,0,0,0,0,1,0,20250621,20250628
GCLR 25_26-39426,0,0,0,0,0,1,0,20250705,20250816
GCLR 24_25-36992,0,0,0,0,0,0,1,20250622,20250629
GCLR 25_26-39427,0,0,0,0,0,0,1,20250706,20250810
ATS_SBL 25-40083,1,1,1,1,1,0,0,20250617,20250627
BBL 24_25-36196,1,1,1,1,1,0,0,20250617,20250627
BBL 25_26-39417,1,1,1,1,1,0,0,20250630,20250815
BCC 25_26-39837,0,0,0,0,1,0,0,20250704,20250815
BCC 24_25-40044,0,0,0,0,1,0,0,20250620,20250627
BCC 25_26-39840,1,1,1,1,0,0,0,20250630,20250814
BCC 24_25-40045,1,1,1,1,0,0,0,20250617,20250626
BCC 25_26-40030,0,0,0,0,0,1,0,20250705,20250816
BCC 24_25-40011,0,0,0,0,0,1,0,20250621,20250628
BCC 25_26-39839,0,0,0,0,0,0,1,20250813,20250813
BCC 25_26-40029,0,0,0,0,0,0,1,20250706,20250810
BCC 24_25-40010,0,0,0,0,0,0,1,20250622,20250629
CBL 25_26-39443,1,1,1,1,1,0,0,20250714,20250815
CBL 25_26-39443-0001000,0,0,0,1,0,0,0,20250714,20250815
CBL 24_25-39203,1,1,1,1,1,0,0,20250617,20250627
CBL 24_25-39203-0001000,0,0,0,1,0,0,0,20250617,20250627
CBL 25_26-39442,1,1,1,1,1,0,0,20250630,20250711
CBL 25_26-39442-0001000,0,0,0,1,0,0,0,20250630,20250711
CBL 25_26-39441,1,0,0,0,0,0,0,20250811,20250811
CBL 25_26-39446,0,0,0,0,0,1,0,20250705,20250816
CBL 24_25-39200,0,0,0,0,0,1,0,20250621,20250628
CBL 25_26-39444,0,0,0,0,0,0,1,20250706,20250810
CBL 24_25-39199,0,0,0,0,0,0,1,20250622,20250629
CDC 24_25-40048,1,1,1,1,1,0,0,20250623,20250627
CDC 24_25-38813,1,1,1,1,1,0,0,20250617,20250620
CDC 25_26-39830,1,1,1,1,1,0,0,20250714,20250815
ATS_TBS 25-40062,1,1,1,1,1,0,0,20250630,20250717
ATS_TBS 25-40066,1,1,1,1,1,0,0,20250627,20250627
ATS_TBS 25-40058,1,1,1,1,1,0,0,20250704,20250718
ATS_TBS 25-40070,0,0,0,0,0,1,0,20250628,20250712
ATS_TBS 25-40056,0,0,0,0,0,0,1,20250629,20250713
KBL 25_26-39804,1,1,1,1,1,1,1,20250811,20250811
HBL 24_25-39821,0,0,0,0,1,0,0,20250620,20250627
HBL 24_25-39820,1,1,1,1,0,0,0,20250617,20250626
HBL 25_26-40103,0,0,0,0,1,0,0,20250718,20250815
HBL 25_26-40102,1,1,1,1,0,0,0,20250714,20250814
HBL 25_26-40110,0,0,0,0,1,0,0,20250704,20250711
HBL 25_26-40112,1,1,1,1,0,0,0,20250630,20250710
HBL 25_26-40105,0,0,0,0,0,1,0,20250705,20250816
HBL 24_25-39263,0,0,0,0,0,1,0,20250621,20250628
HBL 25_26-40107,0,0,0,0,0,0,1,20250706,20250810
HBL 24_25-39267,0,0,0,0,0,0,1,20250622,20250629
BT 25_26-39172,1,1,1,1,1,0,0,20250721,20250807
BT 25_26-39172-0000100,0,0,0,0,1,0,0,20250721,20250807
BT 25_26-39172-1000000,1,0,0,0,0,0,0,20250721,20250807
BT 25_26-39172-0111100,0,1,1,1,1,0,0,20250721,20250807
BT 25_26-39172-1111000,1,1,1,1,0,0,0,20250721,20250807
MET 25_26-39105,1,1,1,1,1,0,0,20250630,20250814
MET 25_26-39105-0000100,0,0,0,0,1,0,0,20250630,20250814
BT 25_26-39167,1,1,1,1,1,0,0,20250811,20250814
BT 25_26-39167-0000100,0,0,0,0,1,0,0,20250811,20250814
BT 25_26-39167-1000000,1,0,0,0,0,0,0,20250811,20250814
BT 25_26-39167-0111100,0,1,1,1,1,0,0,20250811,20250814
BT 25_26-39167-1111000,1,1,1,1,0,0,0,20250811,20250814
BT 25_26-39169,1,1,1,1,1,0,0,20250714,20250717
BT 25_26-39169-0000100,0,0,0,0,1,0,0,20250714,20250717
BT 25_26-39169-0111100,0,1,1,1,1,0,0,20250714,20250717
BT 25_26-39169-1000000,1,0,0,0,0,0,0,20250714,20250717
BT 25_26-39169-1111000,1,1,1,1,0,0,0,20250714,20250717
BT 25_26-39177,0,0,0,0,0,0,1,20250813,20250813
MET 25_26-39109,0,0,0,0,0,0,1,20250813,20250813
BT 25_26-39173,1,1,1,1,1,0,0,20250630,20250703
BT 25_26-39173-0000100,0,0,0,0,1,0,0,20250630,20250703
BT 25_26-39173-1111000,1,1,1,1,0,0,0,20250630,20250703
BT 25_26-39174,1,1,1,1,1,0,0,20250707,20250710
BT 25_26-39174-0000100,0,0,0,0,1,0,0,20250707,20250710
BT 25_26-39174-1111000,1,1,1,1,0,0,0,20250707,20250710
ATS_TDEV25-40075,0,0,0,0,0,1,0,20250621,20250621
ATS_TDEV25-40076,0,0,0,0,0,0,1,20250622,20250622
KBL 25_26-39807,1,1,1,1,1,0,0,20250714,20250815
KBL 24_25-39795,1,1,1,1,1,0,0,20250617,20250627
KBL 25_26-39808,1,1,1,1,1,0,0,20250630,20250711
KBL 25_26-39806,0,0,0,0,0,1,0,20250705,20250816
KBL 24_25-38623,0,0,0,0,0,1,0,20250621,20250628
ATS_KBL 25-38992,0,0,0,0,0,1,0,20250621,20250621
KBL 25_26-39805,0,0,0,0,0,0,1,20250706,20250810
KBL 24_25-38624,0,0,0,0,0,0,1,20250622,20250629
ATS_KBL 25-38995,0,0,0,0,0,0,1,20250622,20250622
LCBS 24_25-39394,1,1,1,1,1,0,0,20250617,20250627
LCBS 24_25-39394-0000100,0,0,0,0,1,0,0,20250617,20250627
LCBS 24_25-39394-0001000,0,0,0,1,0,0,0,20250617,20250627
LCBS 25_26-39979,1,1,1,1,1,0,0,20250714,20250815
LCBS 25_26-39979-0001000,0,0,0,1,0,0,0,20250714,20250815
LCBS 25_26-39979-0000100,0,0,0,0,1,0,0,20250714,20250815
LCBS 25_26-39977,1,1,1,1,1,0,0,20250630,20250711
LCBS 25_26-39977-0001000,0,0,0,1,0,0,0,20250630,20250711
LCBS 25_26-39977-0000100,0,0,0,0,1,0,0,20250630,20250711
LCBS 24_25-39400,0,0,0,0,0,1,0,20250621,20250628
LCBS 25_26-39976,0,0,0,0,0,1,0,20250705,20250816
LCBS 24_25-39398,0,0,0,0,0,0,1,20250622,20250629
LCBS 25_26-39978,0,0,0,0,0,0,1,20250706,20250810
LOGC 25_26-39704,1,1,1,1,1,0,0,20250630,20250815
LOGC 24_25-37028,1,1,1,1,1,0,0,20250617,20250627
LOGC 25_26-39705,0,0,0,0,0,1,0,20250705,20250816
LOGC 24_25-37029,0,0,0,0,0,1,0,20250621,20250628
LOGC 25_26-39706,0,0,0,0,0,0,1,20250706,20250810
LOGC 24_25-37599,0,0,0,0,0,0,1,20250622,20250629
LVB 25_26-39643,0,0,0,0,0,1,0,20250802,20250816
LVB 24_25-38828,0,0,0,0,0,1,0,20250621,20250628
LVB 25_26-39646,0,0,0,0,0,1,0,20250705,20250726
LVB 25_26-39644,0,0,0,0,0,0,1,20250803,20250810
LVB 24_25-38829,0,0,0,0,0,0,1,20250622,20250629
LVB 25_26-39647,0,0,0,0,0,0,1,20250706,20250727
LVB 25_26-39645,1,1,1,1,1,0,0,20250804,20250815
LVB 24_25-38830,1,1,1,1,1,0,0,20250617,20250627
LVB 25_26-39642,1,1,1,1,1,0,0,20250630,20250801
MET 24_25-39279,1,1,1,1,1,0,0,20250617,20250626
MET 24_25-39279-0000100,0,0,0,0,1,0,0,20250617,20250626
BT 24_25-39375,1,1,1,1,1,0,0,20250623,20250626
BT 24_25-39375-0000100,0,0,0,0,1,0,0,20250623,20250626
BT 24_25-39375-1000000,1,0,0,0,0,0,0,20250623,20250626
BT 24_25-39375-0111100,0,1,1,1,1,0,0,20250623,20250626
BT 24_25-39375-1111000,1,1,1,1,0,0,0,20250623,20250626
BT 24_25-39376,1,1,1,1,1,0,0,20250617,20250619
BT 24_25-39376-0000100,0,0,0,0,1,0,0,20250617,20250619
BT 24_25-39376-1000000,1,0,0,0,0,0,0,20250617,20250619
BT 24_25-39376-0111100,0,1,1,1,1,0,0,20250617,20250619
BT 24_25-39376-1111000,1,1,1,1,0,0,0,20250617,20250619
MGB 25_26-39943,1,1,1,1,1,0,0,20250714,20250815
MGB 24_25-39835,1,1,1,1,1,0,0,20250617,20250627
MGB 25_26-39941,1,1,1,1,1,0,0,20250630,20250711
MGB 25_26-39940,0,0,0,0,0,1,0,20250705,20250816
MGB 24_25-39832,0,0,0,0,0,1,0,20250621,20250628
MGB 25_26-39942,0,0,0,0,0,0,1,20250706,20250810
MGB 24_25-39834,0,0,0,0,0,0,1,20250622,20250629
QR 25_26-39954,1,1,1,1,0,0,0,20250701,20250717
QR 25_26-39953,1,1,1,1,0,0,0,20250630,20250630
QR 25_26-39955,0,0,0,0,1,0,0,20250704,20250718
QR 25_26-39634,1,1,1,1,0,0,0,20250721,20250814
QR 25_26-39636,0,0,0,0,0,1,0,20250719,20250816
QR 25_26-39638,0,0,0,0,1,0,0,20250725,20250815
QR 25_26-39640,0,0,0,0,0,0,1,20250720,20250810
PRT 25_26-39961,1,1,1,1,1,1,1,20250811,20250811
PRT 25_26-39961-1111111,1,1,1,1,1,1,1,20250811,20250811
PRT 25_26-39957,0,0,1,0,0,0,0,20250813,20250813
PRT 25_26-39960,1,1,1,1,1,0,0,20250714,20250815
PRT 24_25-39866,1,1,1,1,1,0,0,20250617,20250627
PRT 25_26-39958,1,1,1,1,1,0,0,20250630,20250711
PRT 25_26-39962,0,0,0,0,0,1,0,20250705,20250816
PRT 24_25-39872,0,0,0,0,0,1,0,20250621,20250628
PRT 25_26-39964,0,0,0,0,0,0,1,20250706,20250810
PRT 24_25-39871,0,0,0,0,0,0,1,20250622,20250629
MET 25_26-39983,1,1,1,1,1,0,0,20250704,20250815
MET 25_26-39983-0000100,0,0,0,0,1,0,0,20250704,20250815
MET 25_26-39981,0,0,0,0,0,1,0,20250705,20250816
MET 25_26-39982,0,0,0,0,0,0,1,20250706,20250810
MET 24_25-39385,1,1,1,1,1,0,0,20250620,20250627
MET 24_25-39385-0000100,0,0,0,0,1,0,0,20250620,20250627
MET 24_25-39386,0,0,0,0,0,1,0,20250621,20250628
MET 24_25-39384,0,0,0,0,0,0,1,20250622,20250629
SBL 25_26-39668,1,1,1,1,1,0,0,20250630,20250711
SBL 25_26-39668-1111000,1,1,1,1,0,0,0,20250630,20250711
SBL 25_26-39668-0000100,0,0,0,0,1,0,0,20250630,20250711
SBL 25_26-39458,1,1,1,1,1,0,0,20250811,20250815
SBL 25_26-39458-0000100,0,0,0,0,1,0,0,20250811,20250815
SBL 25_26-39458-1111000,1,1,1,1,0,0,0,20250811,20250815
SBL 25_26-39719,1,1,1,1,1,0,0,20250714,20250808
SBL 25_26-39719-0000100,0,0,0,0,1,0,0,20250714,20250808
SBL 25_26-39719-1111000,1,1,1,1,0,0,0,20250714,20250808
SBL 24_25-39430,1,1,1,1,1,0,0,20250617,20250620
SBL 24_25-39430-0000100,0,0,0,0,1,0,0,20250617,20250620
SBL 24_25-39430-1111000,1,1,1,1,0,0,0,20250617,20250620
SBL 24_25-40116,1,1,1,1,1,0,0,20250623,20250627
SBL 24_25-40116-0000100,0,0,0,0,1,0,0,20250623,20250627
SBL 24_25-40116-1111000,1,1,1,1,0,0,0,20250623,20250627
SBL 25_26-39460,0,0,0,0,0,1,0,20250816,20250816
SBL 25_26-39667,0,0,0,0,0,1,0,20250705,20250809
