route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
19-4158,19,"Salisbury - PA Hospital StationLink",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/19,E463A4,000000
19-4199,19,"Salisbury - PA Hospital StationLink",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/19,E463A4,000000
26-4158,26,"Upper Mt Gravatt - RBWH via Fortitude Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/26,E463A4,000000
28-4199,28,"Langlands Park - UQ Lakes shuttle",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/28,E463A4,000000
29-4158,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/29,E463A4,000000
29-4199,29,"Woolloongabba - UQ Lakes shuttle",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/29,E463A4,000000
30-4158,30,"Spring Hill Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/30,FFD51F,000000
30-4199,30,"Spring Hill Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/30,FFD51F,000000
40-4158,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/40,D20000,FFFFFF
40-4199,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/40,D20000,FFFFFF
50-4158,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/50,D20000,FFFFFF
50-4199,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/50,D20000,FFFFFF
60-4158,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/60,6DD0F6,000000
60-4199,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/60,6DD0F6,000000
61-4158,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/61,7A0046,FFFFFF
61-4199,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/61,7A0046,FFFFFF
77-4158,77,"Eight Mile Plains - Chermside via CLEM7",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/77,E463A4,000000
77-4199,77,"Eight Mile Plains - Chermside via CLEM7",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/77,E463A4,000000
100-4158,100,"Forest Lake/Inala - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/100,E463A4,000000
100-4199,100,"Forest Lake/Inala - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/100,E463A4,000000
101-4158,101,"Forest Lake - Oxley station via Inala and Durack",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/101,E463A4,000000
101-4199,101,"Forest Lake - Oxley Station via Inala Durack",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/101,E463A4,000000
102-4158,102,"Inala - Oxley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/102,E463A4,000000
102-4199,102,"Inala - Oxley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/102,E463A4,000000
103-4158,103,"Centenary - Inala Plaza",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/103,E463A4,000000
103-4199,103,"Centenary - Inala Plaza",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/103,E463A4,000000
104-4158,104,"Corinda High - PA Hospital",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/104,E463A4,000000
104-4199,104,"Corinda - PA Hospital via Tennyson",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/104,E463A4,000000
105-4158,105,"Indooroopilly - PA Hospital via Yeronga",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/105,E463A4,000000
105-4199,105,"Indooroopilly - City via Yeronga",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/105,E463A4,000000
106-4158,106,"Mt Ommaney - Indooroopilly via Corinda",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/106,E463A4,000000
106-4199,106,"Mt Ommaney - Indooroopilly via Corinda",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/106,E463A4,000000
107-4158,107,"Yeerongpilly - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/107,E463A4,000000
107-4199,107,"Yeronga - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/107,E463A4,000000
108-4199,108,"Indooroopilly - City via Tennyson",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/108,E463A4,000000
109-4158,109,"Acacia Ridge - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/109,E463A4,000000
110-4158,110,"Inala - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/110,E463A4,000000
110-4199,110,"Inala - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/110,E463A4,000000
111-4199,111,"Eight Mile Plains - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/111,E463A4,000000
112-4158,112,"Griffith Uni Mt Gravatt - PA Hospital",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/112,E463A4,000000
112-4199,112,"Griffith Uni Mt Gravatt - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/112,E463A4,000000
113-4158,113,"Mt Gravatt Central - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/113,E463A4,000000
113-4199,113,"Mt Gravatt Central - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/113,E463A4,000000
114-4158,114,"Tarragindi - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/114,E463A4,000000
114-4199,114,"Tarragindi - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/114,E463A4,000000
115-4158,115,"Griffith University - Sunnybank Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/115,E463A4,000000
115-4199,115,"Calamvale - City via Acacia Ridge Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/115,E463A4,000000
